,age_cat,priors_count,two_year_recid,race_cat,gender_cat,charge_cat,length_stay
113,0.5,0.5,0,0,0,1,0.0
114,0.5,0.5,1,1,0,1,0.0
115,0.5,1.0,1,0,0,1,1.0
116,0.0,0.0,1,0,0,1,0.0
117,0.5,1.0,1,0,0,1,0.0
118,0.5,0.5,0,0,0,0,0.0
120,0.5,1.0,1,1,0,1,1.0
121,0.5,0.5,1,0,0,1,0.0
122,1.0,1.0,0,0,0,1,0.5
123,1.0,0.5,0,1,0,0,0.0
124,0.5,1.0,1,0,0,1,0.0
125,1.0,0.5,0,1,1,0,0.0
126,0.0,1.0,1,1,0,1,0.5
127,0.5,1.0,0,1,0,1,0.0
128,0.5,0.5,0,1,1,1,0.0
129,0.5,0.5,0,1,0,0,0.0
132,0.5,0.0,1,1,0,0,0.0
133,0.0,0.0,0,0,1,0,0.0
134,0.5,1.0,1,1,1,1,0.0
135,0.5,0.5,1,1,0,0,0.0
137,0.5,0.5,1,0,0,1,0.5
138,0.5,0.5,1,1,0,0,0.5
139,0.5,0.5,0,0,0,0,0.0
140,1.0,0.5,1,1,0,1,0.0
142,0.0,0.5,0,0,1,1,0.0
143,0.5,0.0,0,1,1,0,0.0
144,0.5,1.0,1,0,0,1,0.5
145,0.5,1.0,1,0,0,1,0.0
146,0.5,1.0,1,0,0,0,0.0
147,0.5,0.0,1,0,1,1,0.0
148,0.5,1.0,1,0,1,1,0.5
149,0.5,0.5,1,0,0,1,0.0
150,0.0,0.0,0,0,1,1,0.0
151,0.5,0.0,0,1,1,0,0.0
152,1.0,0.5,1,0,1,1,0.0
155,0.5,1.0,1,0,1,1,0.0
158,0.5,0.5,1,0,1,0,0.0
159,1.0,0.5,0,0,0,0,0.0
160,0.5,0.5,0,1,0,0,0.0
161,0.5,0.5,1,1,1,1,1.0
162,0.5,0.5,0,0,0,1,0.5
163,1.0,0.5,0,1,0,0,0.0
164,0.0,0.5,0,0,0,1,0.0
165,1.0,1.0,1,1,0,1,0.5
166,1.0,1.0,0,1,1,1,0.0
167,0.5,0.0,0,1,0,1,0.0
168,0.5,0.5,1,0,0,0,0.0
170,0.5,1.0,0,0,1,1,0.0
172,1.0,1.0,0,0,0,1,0.5
173,0.5,1.0,0,1,1,1,1.0
174,1.0,0.5,0,1,0,1,0.5
176,0.5,1.0,1,0,0,0,0.0
179,1.0,0.5,1,1,0,0,0.0
180,1.0,0.0,0,1,0,1,0.0
182,0.5,1.0,1,0,0,1,0.5
183,0.0,0.5,1,0,0,1,0.0
184,1.0,1.0,1,0,0,0,0.0
185,0.0,0.0,1,0,0,0,0.0
187,0.5,0.5,1,1,1,1,0.0
188,1.0,0.5,0,0,0,1,0.0
189,1.0,1.0,1,1,0,0,0.5
191,0.5,1.0,1,0,0,1,1.0
192,0.5,0.5,1,0,0,0,0.0
193,0.5,0.0,1,1,0,1,0.0
194,0.5,1.0,1,0,0,1,0.5
195,1.0,0.5,0,1,0,1,1.0
196,0.0,0.0,1,0,0,1,0.0
197,0.5,0.5,0,0,0,0,0.5
198,0.0,0.5,0,0,1,0,0.0
200,1.0,0.5,0,1,0,1,0.0
201,0.5,0.0,0,1,1,0,0.0
202,0.5,1.0,0,1,0,0,0.0
203,0.5,1.0,1,0,1,1,0.0
205,0.5,0.5,1,0,0,1,0.0
206,0.5,0.0,0,0,0,0,0.0
207,0.5,0.0,0,0,1,1,0.5
208,0.5,1.0,1,1,0,1,1.0
209,0.5,1.0,1,1,1,1,0.0
210,0.5,0.5,0,0,0,1,0.0
211,0.5,0.5,0,1,0,0,0.5
212,0.5,0.5,0,0,1,1,0.5
213,1.0,1.0,1,1,0,1,0.0
214,0.5,1.0,0,0,0,1,0.0
215,0.5,0.5,0,0,0,0,0.0
216,1.0,0.5,0,0,0,1,1.0
218,1.0,0.5,0,1,0,1,0.0
219,1.0,0.0,1,1,1,0,0.0
220,1.0,0.0,0,1,0,0,0.0
222,1.0,0.0,0,0,0,1,0.0
223,0.5,1.0,1,1,0,1,0.0
224,0.5,0.5,0,0,1,1,0.0
225,0.5,1.0,0,0,1,0,0.0
226,0.5,1.0,1,0,0,1,1.0
227,0.5,0.0,0,0,0,0,0.0
229,1.0,1.0,0,0,0,1,1.0
230,0.0,0.5,0,0,0,1,0.5
231,0.5,0.5,1,0,1,1,1.0
232,0.5,0.0,0,0,0,0,0.0
233,1.0,0.0,0,1,0,1,0.0
234,0.5,1.0,1,1,0,1,0.5
235,1.0,0.0,0,0,0,1,0.5
236,0.5,0.5,0,1,0,1,0.0
237,0.5,1.0,1,0,0,0,0.0
238,0.5,0.5,0,1,0,1,0.0
239,0.0,0.0,0,0,0,1,0.0
240,0.5,1.0,0,0,0,1,0.0
242,0.5,0.0,1,1,0,1,0.5
243,0.5,0.0,1,1,0,1,0.5
244,0.5,1.0,0,0,0,1,0.0
245,0.5,1.0,0,0,0,0,0.5
246,1.0,0.5,0,1,0,0,0.0
247,0.5,1.0,1,0,0,1,0.5
248,0.5,1.0,1,1,0,0,0.0
249,0.5,0.0,0,0,0,1,0.0
250,0.0,0.5,1,1,0,0,0.0
253,0.5,1.0,1,1,0,1,0.5
254,0.5,1.0,0,1,0,1,0.5
255,0.0,0.5,1,0,0,0,0.0
256,0.0,0.5,1,1,1,0,0.5
257,0.5,0.5,1,0,0,0,0.0
260,0.0,1.0,1,1,1,1,0.0
262,0.5,0.5,0,0,0,0,0.0
263,0.0,0.5,1,0,0,1,0.0
264,0.5,0.5,1,0,0,1,0.0
266,0.5,1.0,0,0,0,1,0.0
267,0.5,0.5,0,1,0,0,0.5
268,0.5,0.5,0,0,1,1,0.0
269,0.0,0.0,0,0,0,1,0.0
271,1.0,0.0,0,0,1,1,0.0
272,0.0,0.0,1,0,1,1,0.0
273,1.0,0.0,0,0,1,1,0.0
275,0.5,0.0,0,1,0,1,0.0
276,0.5,0.0,1,1,0,1,0.0
277,0.5,1.0,1,0,0,1,0.0
278,0.0,0.5,1,0,0,0,0.0
279,0.0,0.5,0,1,1,1,0.0
281,0.5,0.5,0,1,0,1,0.5
282,0.5,0.5,0,0,1,0,0.0
284,0.5,1.0,0,0,0,0,1.0
285,1.0,0.5,1,0,0,1,0.5
286,0.5,0.0,0,0,0,1,0.5
287,0.5,0.5,0,1,0,1,0.0
288,0.5,0.5,1,0,0,0,0.0
289,1.0,0.5,0,1,0,0,0.5
290,1.0,1.0,1,1,0,1,0.0
291,1.0,0.5,0,1,0,1,0.5
292,0.0,0.0,1,0,0,0,0.0
293,0.5,0.5,1,0,0,0,0.0
295,0.5,1.0,0,1,0,0,0.0
296,0.0,0.5,1,0,0,1,0.5
297,0.5,1.0,0,0,0,0,0.0
298,0.0,0.0,1,1,0,1,0.0
299,0.5,1.0,1,0,0,1,0.0
300,0.5,0.5,0,0,0,1,0.5
301,0.5,1.0,1,0,0,1,0.0
303,0.5,0.5,1,1,0,0,0.0
304,1.0,0.5,0,1,0,1,0.0
305,0.0,0.0,0,0,1,0,0.0
306,0.0,0.5,0,0,0,1,0.5
307,0.0,1.0,1,0,0,0,0.5
308,1.0,0.0,0,1,0,1,0.0
309,0.5,1.0,1,0,0,0,0.0
310,0.5,1.0,0,1,0,1,0.5
312,0.5,1.0,0,0,1,1,0.0
314,0.5,0.0,0,0,0,0,0.0
315,0.5,0.0,1,1,0,0,0.0
316,0.5,0.5,1,1,0,0,0.0
317,0.5,0.0,0,1,1,1,0.0
319,0.5,0.0,0,0,0,1,0.5
320,0.0,0.0,1,0,0,1,0.0
321,1.0,0.0,0,1,1,0,0.0
322,1.0,0.0,0,1,0,0,0.0
323,0.5,1.0,0,0,0,1,0.0
324,0.0,0.0,1,0,0,1,1.0
325,1.0,1.0,0,1,0,1,1.0
326,0.5,1.0,0,1,0,1,0.5
327,0.0,0.5,1,0,0,1,0.5
328,1.0,1.0,1,1,0,1,0.5
329,0.5,0.5,1,1,0,0,0.0
332,0.5,0.0,0,0,1,1,0.5
333,0.5,0.5,1,1,1,0,0.0
335,0.5,0.5,0,1,0,1,0.0
336,0.0,0.0,1,0,1,1,0.0
337,0.5,0.0,0,1,0,0,0.0
338,0.0,0.0,0,0,0,1,0.0
339,0.5,0.5,1,0,0,1,0.5
341,0.5,0.0,0,0,0,1,0.0
342,0.5,0.0,0,1,1,0,0.0
345,0.5,0.5,0,0,1,1,0.0
346,0.5,1.0,1,0,0,1,0.0
347,0.0,0.5,0,0,0,1,0.0
348,1.0,0.5,0,0,0,1,0.0
350,0.5,0.0,0,1,0,1,0.5
351,0.0,0.5,1,0,0,1,0.0
354,0.0,0.0,0,1,1,1,0.0
355,1.0,0.0,0,1,0,0,0.0
356,0.0,0.5,0,1,0,1,0.0
357,0.5,1.0,1,0,0,0,0.0
358,0.0,0.0,0,1,0,1,0.0
359,0.0,0.0,1,0,1,1,0.0
360,1.0,0.5,0,0,0,1,0.0
361,0.5,0.5,0,0,0,0,0.5
362,1.0,0.0,0,1,1,0,0.0
364,0.0,0.5,1,0,0,1,0.0
368,0.5,0.0,0,1,0,1,0.0
369,0.0,0.5,0,0,0,1,0.0
370,0.0,0.5,1,1,0,0,0.0
372,0.0,1.0,1,0,0,1,1.0
373,0.0,0.0,1,0,0,1,0.5
374,0.5,0.5,0,1,0,0,0.0
375,1.0,0.5,1,1,1,0,0.0
376,0.5,0.0,1,1,0,1,0.5
377,0.5,1.0,1,0,0,1,1.0
378,1.0,0.5,0,1,1,0,0.0
379,0.0,0.0,0,0,1,1,0.0
380,0.5,0.5,0,0,0,1,0.0
381,0.5,0.5,0,0,0,0,0.0
382,0.0,0.5,0,1,0,0,0.5
383,0.5,1.0,1,0,0,1,0.0
384,0.0,1.0,1,0,0,1,1.0
385,0.0,0.5,0,1,0,0,0.0
386,0.5,1.0,1,0,0,1,0.5
387,0.5,0.5,0,0,0,1,0.0
388,1.0,0.5,0,0,0,1,0.0
390,0.5,1.0,0,0,0,1,0.0
391,1.0,1.0,1,1,0,1,1.0
392,1.0,0.0,0,1,1,0,0.0
393,0.5,1.0,1,0,0,1,0.5
394,0.5,1.0,0,0,0,1,0.5
395,0.5,0.5,0,1,0,0,0.0
397,1.0,1.0,1,1,0,1,1.0
398,0.5,1.0,1,0,0,1,0.0
399,0.5,0.5,0,0,0,1,0.0
400,0.0,0.0,1,0,0,0,0.5
401,0.5,1.0,0,0,0,1,0.0
402,0.5,0.0,0,1,0,1,0.0
403,1.0,0.5,0,1,0,1,0.0
404,1.0,1.0,0,0,0,1,0.5
405,0.5,1.0,1,0,0,1,0.5
406,1.0,1.0,1,1,0,1,0.0
407,0.5,0.5,0,0,0,1,0.0
410,0.5,0.0,0,1,1,0,0.0
411,1.0,0.0,0,1,0,0,0.0
412,0.0,0.0,0,0,1,1,0.0
413,0.5,0.5,1,0,1,1,0.0
414,1.0,1.0,0,0,0,1,1.0
415,0.5,0.0,1,1,0,0,0.0
417,0.0,0.0,0,1,0,1,0.0
418,1.0,0.5,0,1,1,0,0.0
419,0.5,1.0,1,0,0,0,0.0
420,0.0,0.5,1,1,0,1,0.0
421,0.5,1.0,1,0,0,1,0.0
423,0.0,0.0,1,0,0,1,0.0
424,0.5,0.0,1,1,0,0,0.0
425,0.5,1.0,0,0,0,1,0.5
426,1.0,1.0,1,0,0,0,0.5
427,0.0,0.5,0,0,0,1,1.0
429,0.5,0.0,0,1,0,1,0.0
430,1.0,0.5,1,0,0,1,0.5
431,0.5,0.5,0,1,0,0,0.0
432,0.5,0.5,0,0,0,1,0.5
433,0.0,0.5,1,1,0,1,0.0
434,0.5,0.0,0,1,0,1,0.0
435,0.5,0.5,0,0,0,1,0.0
436,0.0,0.5,1,0,1,1,0.0
437,0.0,0.5,1,1,0,1,0.5
438,0.5,0.5,0,1,0,0,0.0
439,0.0,0.0,0,1,1,1,0.0
440,0.5,0.0,0,1,0,0,0.0
442,0.0,0.5,1,0,0,1,0.0
444,0.0,0.5,1,0,0,0,0.0
445,1.0,1.0,0,1,0,1,0.0
446,1.0,0.5,0,0,1,1,0.0
447,0.5,0.5,0,0,0,0,0.0
448,0.5,1.0,0,0,0,1,0.0
449,0.0,0.0,0,1,0,0,0.0
450,1.0,1.0,0,0,0,1,0.5
451,1.0,0.5,1,0,1,1,0.5
452,0.5,0.0,1,1,0,0,0.0
454,0.5,1.0,1,0,0,0,0.0
455,1.0,1.0,0,0,1,1,0.5
456,0.5,0.5,1,0,0,0,0.5
457,0.5,0.5,1,0,0,1,0.0
458,1.0,1.0,1,1,0,1,0.0
459,0.5,0.5,1,1,0,1,0.0
461,1.0,1.0,1,0,0,1,1.0
462,0.5,1.0,1,0,0,1,0.0
463,0.5,1.0,0,0,0,1,0.0
464,1.0,0.5,0,1,0,1,0.0
465,0.5,0.0,0,0,0,1,0.0
466,0.0,1.0,0,0,0,1,0.0
467,1.0,1.0,1,0,0,1,0.0
468,0.5,1.0,1,0,0,1,0.5
469,0.0,1.0,1,0,1,1,0.5
470,1.0,0.5,0,0,0,0,0.0
471,1.0,1.0,1,0,0,0,0.0
472,0.0,0.5,1,1,0,0,0.0
473,0.5,0.5,0,0,0,0,0.0
474,0.0,0.5,1,0,0,1,0.0
475,1.0,0.0,0,1,0,1,0.5
477,0.5,0.5,0,1,0,1,0.0
478,1.0,0.5,0,1,0,1,0.0
479,0.5,1.0,1,1,0,1,0.0
480,1.0,0.0,0,1,0,1,0.0
482,1.0,0.5,1,1,0,1,0.0
486,0.0,1.0,1,1,1,1,0.0
487,0.0,0.5,1,1,0,0,0.5
490,0.5,0.5,0,0,0,1,0.0
491,0.5,0.0,0,1,1,0,0.0
492,0.5,1.0,1,1,0,1,0.5
493,0.5,0.0,1,1,0,0,0.0
494,1.0,0.0,0,0,0,0,0.0
495,0.5,1.0,1,0,0,1,0.5
496,1.0,0.0,0,1,1,0,0.0
497,0.5,0.0,0,0,0,1,0.0
499,0.5,1.0,1,0,0,1,0.5
500,0.5,0.5,1,1,0,0,0.0
503,1.0,1.0,1,0,0,1,0.5
504,0.5,0.5,0,1,0,1,0.0
505,1.0,0.5,0,1,0,0,0.0
506,0.5,0.5,0,1,0,1,0.5
508,1.0,1.0,0,1,0,0,0.0
509,0.5,1.0,0,0,1,0,0.0
511,0.5,0.0,0,0,1,0,0.0
512,1.0,0.0,0,1,1,0,0.0
515,0.5,0.5,0,0,0,0,0.0
516,0.5,1.0,0,0,1,1,0.5
518,1.0,1.0,1,0,0,1,1.0
519,0.5,1.0,1,0,0,1,0.0
520,0.0,0.0,0,1,0,1,0.0
521,1.0,0.5,1,1,0,1,1.0
522,1.0,0.0,1,0,0,0,0.5
523,1.0,1.0,0,0,0,0,0.0
524,0.0,0.0,1,0,0,1,0.0
525,0.5,1.0,1,1,0,1,0.0
526,0.0,0.0,0,1,0,1,0.5
527,0.0,0.0,0,1,0,0,0.0
528,0.5,1.0,0,1,0,1,0.0
529,0.5,0.5,1,0,0,0,0.0
530,0.5,0.0,0,0,0,1,0.0
531,0.5,1.0,1,0,0,1,0.0
532,0.5,0.5,1,1,0,1,0.0
533,0.0,0.0,1,1,0,1,0.0
535,0.5,0.0,0,1,0,1,0.0
537,0.5,0.0,0,0,0,1,0.0
538,0.5,1.0,1,0,0,1,0.0
539,0.0,1.0,1,1,0,0,0.5
540,0.0,1.0,1,1,0,1,0.5
542,1.0,0.5,0,1,0,0,0.0
543,0.5,1.0,1,0,0,1,0.0
545,1.0,0.5,1,1,0,1,0.0
546,0.5,0.5,0,0,0,0,0.0
548,0.0,0.5,0,1,0,1,0.0
550,0.5,1.0,0,0,0,1,0.0
551,1.0,1.0,0,0,0,1,1.0
552,0.5,0.5,0,0,0,1,0.0
554,0.5,0.5,1,0,0,1,0.0
555,0.0,0.5,1,0,0,1,0.0
556,1.0,0.5,0,1,0,0,0.0
557,0.0,0.5,1,0,0,1,0.0
558,1.0,0.5,0,0,0,0,0.0
559,0.5,0.0,0,0,0,1,0.5
560,0.5,0.5,0,1,0,1,0.0
561,0.5,1.0,1,0,0,1,0.0
562,0.5,0.0,0,0,1,0,0.0
563,0.0,0.5,0,0,0,1,0.0
564,0.5,0.5,1,1,0,1,0.5
565,0.5,1.0,0,1,0,1,0.0
567,0.5,1.0,1,0,0,0,0.5
568,0.5,1.0,0,1,0,0,1.0
569,0.5,1.0,1,0,1,1,0.0
570,0.5,0.0,0,1,0,0,0.0
571,0.5,1.0,0,0,0,1,0.0
573,0.5,0.0,0,0,1,0,0.0
576,1.0,0.5,1,1,1,0,0.0
577,1.0,1.0,1,1,0,1,0.0
578,0.5,1.0,1,1,0,1,0.5
579,1.0,0.0,1,1,0,0,0.0
580,1.0,0.0,0,1,1,0,0.0
581,0.5,1.0,1,0,0,1,0.0
582,0.0,0.0,0,1,1,0,0.0
583,0.0,0.5,0,1,0,0,0.5
585,0.0,1.0,1,0,0,1,0.5
588,0.0,1.0,1,0,0,1,1.0
589,0.5,1.0,0,0,0,1,0.5
590,0.5,0.0,0,0,0,0,0.0
591,0.0,0.0,0,1,1,1,0.0
592,0.5,0.0,0,0,0,0,0.0
595,0.0,0.0,0,1,1,1,0.0
596,0.0,0.5,0,0,0,1,0.0
597,0.5,0.5,1,0,0,0,0.5
598,0.5,0.5,1,0,0,0,0.0
599,1.0,1.0,1,0,0,1,0.5
600,0.5,0.0,0,0,0,1,0.0
601,0.0,1.0,1,0,0,1,0.0
602,0.5,0.5,0,0,1,1,0.0
604,0.5,0.5,0,0,0,0,0.0
605,0.5,1.0,1,1,0,1,0.5
607,1.0,0.0,0,1,1,0,0.0
608,0.5,0.5,0,1,0,0,0.0
609,0.5,1.0,1,0,0,0,0.0
610,0.5,0.0,0,1,0,1,0.0
611,0.0,0.0,1,0,0,1,0.0
613,0.5,1.0,1,0,0,1,0.5
614,1.0,0.0,0,1,0,0,0.0
616,0.5,0.5,1,1,0,0,0.5
617,0.5,1.0,0,0,0,1,0.0
619,1.0,1.0,1,0,0,0,0.0
620,0.0,0.5,0,1,1,1,0.0
621,0.0,0.0,0,0,1,0,0.0
622,0.0,0.5,1,1,1,1,0.5
623,0.5,0.5,0,0,0,0,0.0
624,0.5,0.0,0,0,0,0,0.0
625,1.0,1.0,1,0,0,1,0.0
626,0.0,1.0,1,0,0,1,0.0
628,0.0,1.0,1,0,0,1,0.0
629,0.5,0.5,1,1,0,1,0.0
630,0.5,1.0,0,1,0,0,0.0
631,0.5,0.5,0,1,0,1,0.0
632,0.0,0.5,1,1,0,1,0.5
633,0.5,0.0,0,0,0,1,0.0
634,0.5,1.0,1,0,0,1,0.0
635,0.5,0.0,1,1,1,1,0.0
637,1.0,1.0,1,0,1,1,0.0
638,1.0,0.0,1,1,1,0,0.0
639,0.0,0.0,0,0,0,1,0.0
640,0.0,0.0,0,0,1,1,0.0
641,0.5,0.0,0,0,0,1,0.0
642,0.0,0.5,1,1,0,1,0.5
643,0.0,0.5,1,1,0,1,0.5
644,0.5,0.5,1,1,0,1,0.5
645,0.5,1.0,1,0,0,1,0.0
646,0.5,1.0,0,0,1,1,0.0
647,1.0,0.5,0,1,1,1,0.0
648,0.0,1.0,0,0,0,1,0.5
649,0.5,0.5,1,1,0,1,0.0
650,0.5,0.0,1,0,0,1,0.0
651,0.0,0.5,1,0,0,1,0.0
652,0.5,1.0,1,0,1,1,0.5
653,0.5,1.0,1,0,0,1,0.0
654,0.5,0.5,1,1,0,1,0.0
655,0.5,1.0,1,0,0,1,0.5
656,1.0,1.0,0,0,0,1,0.0
657,0.0,0.5,0,0,0,1,0.0
658,0.5,0.5,1,0,0,0,0.5
660,1.0,0.5,1,0,0,0,0.0
661,0.5,0.0,0,0,0,0,0.0
662,0.5,0.0,0,0,1,1,0.0
663,1.0,0.5,0,1,0,0,0.0
665,0.0,0.0,0,0,0,1,0.0
666,0.5,1.0,0,0,0,1,0.0
668,0.5,1.0,0,1,0,1,0.5
671,0.5,0.0,0,0,1,0,0.0
672,1.0,0.5,0,1,1,1,0.5
673,0.5,0.0,0,0,0,0,0.0
674,0.5,0.0,1,0,0,0,0.0
675,1.0,1.0,1,0,0,1,0.0
676,0.0,0.5,0,0,0,1,1.0
677,0.5,0.0,0,1,1,0,0.0
678,0.5,1.0,1,1,1,1,0.0
680,0.0,0.5,1,0,0,0,0.5
681,0.5,0.5,0,0,0,1,0.0
683,1.0,0.5,1,1,0,1,0.0
684,0.5,1.0,1,0,0,1,0.5
685,0.5,0.5,0,0,1,1,0.0
686,0.5,1.0,0,0,0,1,0.0
687,0.5,1.0,0,0,0,0,0.0
689,0.5,1.0,1,0,0,1,0.0
690,1.0,0.5,0,1,0,1,0.0
691,0.5,0.5,1,0,0,0,0.0
692,0.0,0.5,0,0,0,1,1.0
693,0.5,1.0,1,0,0,1,1.0
694,1.0,0.5,1,1,0,1,0.0
695,1.0,1.0,1,0,0,1,0.5
696,0.5,0.5,0,0,0,0,0.0
697,0.0,0.5,0,0,0,0,0.0
698,0.5,0.5,0,0,0,1,0.0
699,1.0,0.0,0,0,0,1,0.0
700,0.5,1.0,0,0,0,1,0.0
701,0.5,1.0,1,0,0,0,0.0
702,0.5,1.0,1,0,0,1,0.0
703,0.5,0.5,0,1,0,1,0.0
704,1.0,1.0,1,1,1,1,1.0
705,1.0,0.5,0,1,0,1,0.0
706,0.5,1.0,0,0,0,1,0.5
707,0.5,0.0,0,0,0,1,0.0
709,1.0,0.5,0,1,1,1,0.5
710,0.0,0.0,1,0,0,1,0.0
713,1.0,1.0,1,0,0,1,1.0
714,1.0,0.0,0,0,0,0,0.0
715,0.0,0.5,0,0,0,1,0.0
716,0.5,0.5,1,1,0,1,0.5
717,1.0,0.0,0,1,0,1,0.0
718,0.5,0.0,1,1,0,0,0.0
720,0.0,0.0,0,1,0,0,0.0
721,0.5,0.0,1,1,0,1,0.0
722,1.0,0.0,0,1,0,0,0.0
723,0.5,0.5,0,1,0,0,0.0
724,0.0,0.5,0,1,0,1,0.0
726,0.0,0.0,0,0,0,1,0.0
727,0.5,1.0,1,1,0,1,1.0
728,0.5,0.5,0,1,0,1,0.0
729,0.0,0.5,1,1,0,1,0.0
730,1.0,0.0,1,0,0,1,0.0
731,0.5,1.0,1,0,1,1,0.0
732,1.0,0.5,0,0,0,1,0.0
733,1.0,0.5,0,1,1,1,0.5
734,0.0,1.0,1,0,0,1,0.5
735,0.0,0.0,0,0,0,1,0.0
736,0.5,0.0,0,0,0,1,0.0
737,0.0,0.0,0,0,0,1,0.0
738,1.0,1.0,0,0,0,1,0.0
739,0.5,1.0,1,0,0,1,0.0
740,0.0,0.0,0,0,0,1,0.0
741,0.0,0.0,0,1,1,0,0.0
743,0.5,1.0,1,1,0,1,0.0
744,0.0,0.0,1,0,0,1,0.0
745,1.0,0.0,0,1,1,1,0.0
746,0.0,0.5,0,1,0,1,0.0
747,0.5,1.0,1,0,0,0,0.0
748,0.5,0.5,0,0,1,0,0.0
749,1.0,1.0,0,0,0,1,0.5
750,0.5,1.0,0,0,0,0,0.5
751,0.5,0.0,0,0,1,1,0.5
752,0.0,0.0,1,0,0,1,0.0
753,0.5,0.5,0,0,1,1,0.0
754,0.0,0.5,1,0,0,1,0.0
755,0.5,1.0,1,0,0,1,0.5
757,1.0,1.0,1,0,1,1,0.5
760,0.0,0.5,1,1,1,1,0.5
761,0.0,0.0,0,0,1,1,0.0
763,1.0,1.0,1,1,0,1,0.5
764,1.0,0.0,0,0,1,1,0.0
765,0.0,0.0,0,0,1,1,0.0
766,0.5,1.0,1,0,0,1,0.5
767,0.5,1.0,0,0,0,1,0.0
769,0.5,1.0,1,0,0,1,0.0
770,0.5,0.5,0,0,0,0,0.0
771,0.5,0.5,0,0,0,0,0.0
774,0.5,0.0,0,0,0,0,0.0
